 AKTV,#genre#
CCTV3,https://mursor.ottiptv.cc/migu/624878271.m3u8?migutoken=d437ae6c6bac168c8cd8d27bca4b42fbcff9936bf58e3df42d4dc34afe959e4f69e0db93261b6e0d7f779a95d8d42afbb86be325e98ed7b8dd94c8b341d462c69cf3df23878d5897bcf663347b
CCTV4,https://mursor.ottiptv.cc/migu/631780421.m3u8?migutoken=da1ecb5d29e7731d8250c187047250c2da8f045acb97326a9b725ef266bafd71621459d8118852f38f1804fb3200b6a43c71168fd1cad89aba774def1662a4cdbcdd015ead1dcf63b470b18a82
CCTV5,https://mursor.ottiptv.cc/migu/641886683.m3u8?migutoken=3c02e4c08e8525525213af850ce480737e643d900285e8b99a3768b0de613f12c3d35440d321a0a6f25f2ab75fd9194d6a8c579b7eb5c921e838ade233c08fb142e83f9e4f6fc6cee0c22ddf74
CCTV5+,https://mursor.ottiptv.cc/migu/641886773.m3u8?migutoken=a01a5bd8f0bb8369ebd35241f57cc7450505347b223e03b105df790f5c68d708176cde3d73bcd31ffacab26b295ef8d3378a7b2308bc1d8255b27e1932b6a95e6260a9d6dbc74d319cd951f218
CCTV6,https://mursor.ottiptv.cc/migu/624878396.m3u8?migutoken=712064d3712fb66fd31faa7ffe78a78a60fe1e7c4ef2bd46b52382b11885b4eb63249761781137b93be265518a0f176f7476c18eafa9de413dc318ea8e3cd50250cad6b3fff731f75ef41b238b
CCTV7,https://mursor.ottiptv.cc/migu/673168121.m3u8?migutoken=9a330832a4d7a800d73d5029161886cbb72526e64acc5d2771392ae2b8a1684cb2bf5cb3b2fca5610b6814ce10ea8a869db00c29be07e32b7f742f902dcec7bd5f9d1d2f19f887f3f164f8d7d2
CCTV8,https://mursor.ottiptv.cc/migu/624878356.m3u8?migutoken=bc936a555ca4c887e9bcd97e95328042ad7e0a4f7a092ec1d2ef060039f3cea71a64d7e4e647d8dd8f05d2d4a9d4bd07ca17090121a958ac213844a3bae7464badfda096a7e2f43175434cbc7a
CCTV9,https://mursor.ottiptv.cc/migu/673168140.m3u8?migutoken=aa99690ff470744b6c9cfd11f51fd626711d447c84cb0eeee5a5118881f59f5dc41735f2a17cda0d54a7660a42f55498a59544a57fd73473bc25daa1cb4c94a9661fd37df6e694d3d02f91c63f
CCTV10,https://mursor.ottiptv.cc/migu/624878405.m3u8?migutoken=57ebc4486eb9a564fc801ec1c974a3d7c4adfdc09f0d039aadb6dd596c2fc1e5327981dc4495978da8d3c05b0b4082f52198fba16153c81a7ec9d628fcacd6fe5759bca0bb878ec27fac9d63e1
CCTV11,https://mursor.ottiptv.cc/migu/667987558.m3u8?migutoken=fdf6667aab3f93b590221d703a0fac1a9610d9d2a1d571092194be5c6600f6967241268a9b78ca5b4adf2717be24749abc5d7cf05d014c2217118094be8beeb2146d5076d1ce46c7e2b27b9031
CCTV12,https://mursor.ottiptv.cc/migu/673168185.m3u8?migutoken=2bbc91896503575579cf1403f20da92eed09367aa579bf7aac2cbe17f9ad40e6cb3100d3ad69b01b67285d413d3487c3ca3d7ddf3084c6bb28f4b76bce46566c127824810b7ad80bb4d1957205
CCTV13,https://mursor.ottiptv.cc/migu/608807423.m3u8?migutoken=794be6046639ef68fd138a42d6f249f85f8bc935a58f3cbbf4f88dbc1d0383be04e1c6d417ac862432ec1b98b6a65439b1cd115e8ca9386aea01326695cec1b5fb47be272a9ecc91379128e687
CCTV14,https://mursor.ottiptv.cc/migu/624878440.m3u8?migutoken=76768b9673ffb2fbbebf9d3e9870020b8dae7d35e4bcf51f3a39b11a87cc8c77a6983f37722f5f603bfcb7c6246aef448621584cdd6b2c0c4ceaafeb2133ecbd0ab2e4e79c3484130c18379ec5
CCTV15,https://mursor.ottiptv.cc/migu/673168223.m3u8?migutoken=3c2ce05f0023315992e774c9676ceae3931bb497eeff07ae115e73e1f14fd6831943cb654b6408fef0ce9e51200a5cefb3dc73bb828685d8691cd4166697549bd63abbeba60a12efe74089959f
CCTV17,https://mursor.ottiptv.cc/migu/673168256.m3u8?migutoken=a4e5856e3c3bffd19cb493bf7e5414e5e5618aae6d81d85d3e49b98c02103d01a5468edd593857c797de1621fe184ef998abf5996dbb9d8d6c2a44a4208fc44be6f0e862a879b4b11ccca79b2e

CCTV1,http://api.kkitv.itv888.cn:8080/hls/f5fuln3kthe/index.m3u8
CCTV2,http://api.kkitv.itv888.cn:8080/hls/4nlkhc68gfu/index.m3u8
CCTV3,http://api.kkitv.itv888.cn:8080/hls/aikp69mli0d/index.m3u8
CCTV4,http://api.kkitv.itv888.cn:8080/hls/25uo2rutach/index.m3u8
CCTV5,http://api.kkitv.itv888.cn:8080/hls/7vx0ia55les/index.m3u8
CCTV6,http://api.kkitv.itv888.cn:8080/hls/tp9ajk4od5/index.m3u8
CCTV7,http://api.kkitv.itv888.cn:8080/hls/3udggaszi1i/index.m3u8
CCTV8,http://api.kkitv.itv888.cn:8080/hls/vseo1nm7qp/index.m3u8
CCTV9,http://api.kkitv.itv888.cn:8080/hls/bsmkmf3jrp4/index.m3u8
CCTV10,http://api.kkitv.itv888.cn:8080/hls/wd86wxjxn8/index.m3u8
CCTV11,http://api.kkitv.itv888.cn:8080/hls/og4kq4cnqm/index.m3u8
CCTV12,http://api.kkitv.itv888.cn:8080/hls/nwfb31kwc3l/index.m3u8
CCTV13,http://api.kkitv.itv888.cn:8080/hls/9sxg4yjgot/index.m3u8
CCTV14,http://api.kkitv.itv888.cn:8080/hls/dyfpqk8fpzi/index.m3u8
CCTV15,http://api.kkitv.itv888.cn:8080/hls/hcwu4ianhgw/index.m3u8
CCTV16,http://api.kkitv.itv888.cn:8080/hls/qazacsm0hgl/index.m3u8
CCTV17,http://api.kkitv.itv888.cn:8080/hls/5t4bgijh9da/index.m3u8
CCTV5+,http://api.kkitv.itv888.cn:8080/hls/xsb4znrv3c/index.m3u8
CCTV1,http://home.amucn.net:8800/udp/239.49.8.129:6000
CCTV1,http://home.amucn.net:8800/udp/239.49.0.207:8000
CCTV1,http://home.amucn.net:8800/udp/239.49.0.1:8000
CCTV1,http://home.amucn.net:8800/udp/239.49.0.158:8000
CCTV1,http://home.amucn.net:8800/udp/239.49.1.1:6000
CCTV1,http://home.amucn.net:8800/udp/239.49.8.19:9614
CCTV1,http://home.amucn.net:8800/udp/239.49.8.61:9346
CCTV2,http://home.amucn.net:8800/udp/239.49.8.130:6000
CCTV2,http://home.amucn.net:8800/udp/239.49.1.2:6000
CCTV2,http://home.amucn.net:8800/udp/239.49.8.50:9802
CCTV3,http://home.amucn.net:8800/udp/239.49.8.74:8000
CCTV3,http://home.amucn.net:8800/udp/239.49.0.28:8000
CCTV4,http://home.amucn.net:8800/udp/239.49.8.131:6000
CCTV4,http://home.amucn.net:8800/udp/239.49.1.4:6000
CCTV4,http://home.amucn.net:8800/udp/239.49.8.51:9806
CCTV4K,http://home.amucn.net:8800/udp/239.49.0.82:8000
CCTV5,http://home.amucn.net:8800/udp/239.49.8.75:8000
CCTV5,http://home.amucn.net:8800/udp/239.49.0.29:8000
CCTV5,http://home.amucn.net:8800/udp/239.49.0.206:8000
CCTV5,http://home.amucn.net:8800/udp/239.49.1.5:6000
CCTV5+,http://home.amucn.net:8800/udp/239.49.8.18:9610
CCTV6,http://home.amucn.net:8800/udp/239.49.8.76:8000
CCTV6,http://home.amucn.net:8800/udp/239.49.0.73:8000
CCTV6,http://home.amucn.net:8800/udp/239.49.1.6:6000
CCTV7,http://home.amucn.net:8800/udp/239.49.0.126:8000
CCTV7,http://home.amucn.net:8800/udp/239.49.8.126:8000
CCTV7,http://home.amucn.net:8800/udp/239.49.1.254:6000
CCTV8,http://home.amucn.net:8800/udp/239.49.8.77:8000
CCTV8,http://home.amucn.net:8800/udp/239.49.0.79:8000
CCTV8,http://home.amucn.net:8800/udp/239.49.1.8:6000
CCTV9,http://home.amucn.net:8800/udp/239.49.8.53:9814
CCTV10,http://home.amucn.net:8800/udp/239.49.8.134:6000
CCTV10,http://home.amucn.net:8800/udp/239.49.8.54:9818
CCTV10,http://home.amucn.net:8800/udp/239.49.1.10:6000
CCTV10,http://home.amucn.net:8800/udp/239.49.0.10:8072
CCTV11,http://home.amucn.net:8800/udp/239.49.0.127:8000
CCTV11,http://home.amucn.net:8800/udp/239.49.1.11:6000
CCTV11,http://home.amucn.net:8800/udp/239.49.0.11:8080
CCTV12,http://home.amucn.net:8800/udp/239.49.8.135:6000
CCTV12,http://home.amucn.net:8800/udp/239.49.8.55:9822
CCTV12,http://home.amucn.net:8800/udp/239.49.1.12:6000
CCTV12,http://home.amucn.net:8800/udp/239.49.0.12:8088
CCTV13,http://home.amucn.net:8800/udp/239.49.8.109:8000
CCTV13,http://home.amucn.net:8800/udp/239.49.0.41:8320
CCTV13,http://home.amucn.net:8800/udp/239.49.0.196:8000
CCTV13,http://home.amucn.net:8800/udp/239.49.1.13:6000
CCTV13,http://home.amucn.net:8800/udp/239.49.0.13:8096
CCTV14,http://home.amucn.net:8800/udp/239.49.8.136:6000
CCTV14,http://home.amucn.net:8800/udp/239.49.8.56:9826
CCTV14,http://home.amucn.net:8800/udp/239.49.1.14:6000
CCTV14,http://home.amucn.net:8800/udp/239.49.0.14:8104
CCTV15,http://home.amucn.net:8800/udp/239.49.0.128:8000
CCTV15,http://home.amucn.net:8800/udp/239.49.1.15:6000
CCTV15,http://home.amucn.net:8800/udp/239.49.0.15:8112
CCTV16,http://home.amucn.net:8800/udp/239.49.8.31:8000
CCTV164K,http://home.amucn.net:8800/udp/239.49.0.109:8000
CCTV17,http://home.amucn.net:8800/udp/239.49.8.132:6000
CCTV17,http://home.amucn.net:8800/udp/239.49.8.52:9810
CCTV17,http://home.amucn.net:8800/udp/239.49.1.7:6000
CETV1,http://home.amucn.net:8800/udp/239.49.8.115:8000
CETV4,http://home.amucn.net:8800/udp/239.49.0.125:8000
CETV1,http://home.amucn.net:8800/udp/239.49.0.70:8552
CETV2,http://home.amucn.net:8800/udp/239.49.0.71:8560
CETV4,http://home.amucn.net:8800/udp/239.49.0.72:8568
CGTN,http://home.amucn.net:8800/udp/239.49.1.9:6000

📡卫视频道,#genre#
东方卫视,https://mursor.ottiptv.cc/migu/651632648.m3u8?migutoken=7ff88cba92d40a43840b29838ad7d27aef67545557361f7178759b4f02f3cc8b8c43a35deb4f20693fa2aec029ff44a0072ae29b471ddb472ae42588a16280b197d6dbd3ce6a8ffe8ba6ec2671
江苏卫视,https://mursor.ottiptv.cc/migu/623899368.m3u8?migutoken=5a91beb9f69ff1e10ec5c4fcd01f2568fb29cd97163057957e8f516dfeadbfbea0b4f0392654c17f1dc5db2c00bb354a80b837d575f33921e25525804fa727a55dbcbda2ff82bf8ac54ff431a6
广东卫视,https://mursor.ottiptv.cc/migu/608831231.m3u8?migutoken=72008949f01a1f382248cacbe8661b7d92b11cbb6e1a1e83c1bd53541766ed0bb99bb2b06d294a1e7b2faffc0aa2073f183e96a5d12596ff72eec860d3eab33a8227ce4e5a774ac8b2bcaf4879
江西卫视,https://mursor.ottiptv.cc/migu/783847495.m3u8?migutoken=61e0dc42fcc003558367f8c3be7e45721b9ac824ed3d879bb3dd424fb10c132d7df91104cf20133c56eacc125009d9d8c8fde6108cac01c47b64df7bda5d233f22383e0688e423f74328f82d8c
河南卫视,https://mursor.ottiptv.cc/migu/790187291.m3u8?migutoken=a4910c8cfd631c649f8a7eefded70cbee64590d55502ccbd1317b7bfd2cbce3d41ae61432fb2b0a7e8294b33e51084c144e335fdb7ddd441b8d7aac5708ac6e31c4201494ddbdae73c8d3d2890
陕西卫视,https://mursor.ottiptv.cc/migu/738910838.m3u8?migutoken=b73f44e4ce6457a1d5ad5d229d92557906a0229007d3af7d618026ed6c00c674f7548dbd7f2727b9535298a36550b5bc58559b1089c66d93ccd1354f7947ec017db0d3c9117f63134dfa276463
大湾区卫视,https://mursor.ottiptv.cc/migu/608917627.m3u8?migutoken=c4b3b2bff09351df65f58fde69d37e78777fc148bf64b3376513c8da45e8ff3f4d5427c34b3cc71d507beb75f0d356bc0bdd77f9043db1beeade2ba52aecb65b7e224904aa3a1de466ca805fd4
湖北卫视,https://mursor.ottiptv.cc/migu/947472496.m3u8?migutoken=32e77b3da9fa6ce881496c0a337c5fb1c4973f1b816bb1b41c28cc2ffcae659b26583efd64268921094a83a20b282dcea2baa42ed4b7a5f790c41be24201b5ccab56f1f9d1e7782f419133fb54
吉林卫视,https://mursor.ottiptv.cc/migu/947472500.m3u8?migutoken=7c5428060b7c06a7d149590064274f3267afdb4d6606ec64342de030d13981abe99a214ad5aaca3d5b4e240f5f525a2e9ead575e1be4688c2e551f86a0f6612c0b75bf75c6514d3c0daf261ec5
青海卫视,https://mursor.ottiptv.cc/migu/947472506.m3u8?migutoken=ccfec175ddde2640b372c4696aee254b80e7ca6345f666e1210ce2b4a64fb92ea1002ca71b4d0140920266849c8a105c6412c67e8f34a3ce9bd7245ee92c8f0cbd07b1c4728e754e9af6b4ae16
东南卫视,https://mursor.ottiptv.cc/migu/849116810.m3u8?migutoken=03a8d119f232350e9e2a430429987c409174fb68e46971a9601b30688ffc88d60dae578c07c5e109fdd53ab670f8009ccee29d608bc307586604c8036f7618aec907a03e80e0ca7223a1c5626b
海南卫视,https://mursor.ottiptv.cc/migu/947472502.m3u8?migutoken=5e8b792e45a4515c63f40be4ca8f4cda039d6dfd5c92d6b6a5af45e21d1fcad79b325a80fd9387be51c4c3f84a5a9626c1bc9548c744607845cd037c706d4dff4800ccf73f8cf7dff207cc0176
海峡卫视,https://mursor.ottiptv.cc/migu/849119120.m3u8?migutoken=1507caabb419605d0f5cdfbfcf98bf62a1d5ed52b3faff4c610317f1ff4176e53304ee3bb76c84ed332f2f20e2db86291dc0738c4b68d2c1fb0096c38c5e4a81c477776b520e5a108e42db70d6
中国农林卫视,https://mursor.ottiptv.cc/migu/956904896.m3u8?migutoken=6a2e59e52e1b95bbcee3e98cbcbc08fbc9ceb548aa9cc524e61b95094da2f01080c9adef5010f05ed5b4b378714be3f8ddcea63ecb6dce9d77632facf28b3e55c5b1d741aa63856ef9dc05a4fb
兵团卫视,https://mursor.ottiptv.cc/migu/956923145.m3u8?migutoken=c58e25e87a270956e9ec41dff97989cf14fdd5eed9d47500269725ac9dc00beefce5b396d0311aab1327ede08b0801ab60a2f145a1dda9e83628914619c7766e0ca278e0fcf941b8507eb1bbcc

湖南卫视,http://api.kkitv.itv888.cn:8080/hls/hoxiunz7ce/index.m3u8
东方卫视,http://api.kkitv.itv888.cn:8080/hls/p269fvbehye/index.m3u8
江苏卫视,http://api.kkitv.itv888.cn:8080/hls/g1upm1u239/index.m3u8
广东卫视,http://api.kkitv.itv888.cn:8080/hls/qr6872071g/index.m3u8
浙江卫视,http://api.kkitv.itv888.cn:8080/hls/urjqjvyf41q/index.m3u8
北京卫视,http://api.kkitv.itv888.cn:8080/hls/h5uud1z84gn/index.m3u8
深圳卫视,http://api.kkitv.itv888.cn:8080/hls/iftsd32ykm/index.m3u8
天津卫视,http://api.kkitv.itv888.cn:8080/hls/z2lkdkrb4w/index.m3u8
山东卫视,http://api.kkitv.itv888.cn:8080/hls/6gcdai13om5/index.m3u8
安徽卫视,http://api.kkitv.itv888.cn:8080/hls/m8hvytneunk/index.m3u8
江西卫视,http://api.kkitv.itv888.cn:8080/hls/pv0np60bpin/index.m3u8
黑龙江卫视,http://api.kkitv.itv888.cn:8080/hls/2a24lcvser/index.m3u8
四川卫视,http://api.kkitv.itv888.cn:8080/hls/p2npnppn96p/index.m3u8
贵州卫视,http://api.kkitv.itv888.cn:8080/hls/5dqtpf3arun/index.m3u8
湖北卫视,http://api.kkitv.itv888.cn:8080/hls/qwummpaoaq/index.m3u8
辽宁卫视,http://api.kkitv.itv888.cn:8080/hls/iibq0absdjr/index.m3u8
广西卫视,http://api.kkitv.itv888.cn:8080/hls/yvz4ndj9dqb/index.m3u8
重庆卫视,http://api.kkitv.itv888.cn:8080/hls/ogh3s6tbw6/index.m3u8
东南卫视,http://api.kkitv.itv888.cn:8080/hls/jjt15bvbl7a/index.m3u8
吉林卫视,http://api.kkitv.itv888.cn:8080/hls/b6dl8yuvu/index.m3u
海南卫视,http://api.kkitv.itv888.cn:8080/hls/c1cajhsgba8/index.m3u8
北京卫视4K,http://home.amucn.net:8800/udp/239.49.8.81:8000
北京卫视4K,http://home.amucn.net:8800/udp/239.49.8.82:8000
北京卫视4K,http://home.amucn.net:8800/udp/239.49.0.42:8000
北京卫视4K,http://home.amucn.net:8800/udp/239.49.0.253:8000
江苏卫视,http://home.amucn.net:8800/udp/239.49.8.138:6000
浙江卫视,http://home.amucn.net:8800/udp/239.49.8.139:6000
东方卫视,http://home.amucn.net:8800/udp/239.49.8.140:6000
北京卫视,http://home.amucn.net:8800/udp/239.49.8.141:6000
湖南卫视,http://home.amucn.net:8800/udp/239.49.8.142:6000
广东卫视,http://home.amucn.net:8800/udp/239.49.8.143:6000
广东卫视,http://home.amucn.net:8800/udp/239.49.8.13:9422
黑龙江卫视,http://home.amucn.net:8800/udp/239.49.8.144:6000
深圳卫视,http://home.amucn.net:8800/udp/239.49.8.145:6000
山东卫视,http://home.amucn.net:8800/udp/239.49.8.146:6000
湖北卫视,http://home.amucn.net:8800/udp/239.49.8.147:6000
天津卫视,http://home.amucn.net:8800/udp/239.49.8.148:6000
重庆卫视,http://home.amucn.net:8800/udp/239.49.8.149:6000
江西卫视,http://home.amucn.net:8800/udp/239.49.8.185:6000
河北卫视,http://home.amucn.net:8800/udp/239.49.8.188:6000
安徽卫视,http://home.amucn.net:8800/udp/239.49.8.204:6000
天津卫视,http://home.amucn.net:8800/udp/239.49.8.35:8620
重庆卫视,http://home.amucn.net:8800/udp/239.49.8.57:9830
湖北卫视,http://home.amucn.net:8800/udp/239.49.8.8:9632
黑龙江卫视,http://home.amucn.net:8800/udp/239.49.8.14:9426
深圳卫视,http://home.amucn.net:8800/udp/239.49.8.15:9430
安徽卫视,http://home.amucn.net:8800/udp/239.49.8.80:8000
四川卫视,http://home.amucn.net:8800/udp/239.49.8.110:8000
江西卫视,http://home.amucn.net:8800/udp/239.49.8.111:8000
东南卫视,http://home.amucn.net:8800/udp/239.49.8.112:8000
吉林卫视,http://home.amucn.net:8800/udp/239.49.8.113:8000
河北卫视,http://home.amucn.net:8800/udp/239.49.8.114:8000
广西卫视,http://home.amucn.net:8800/udp/239.49.8.10:8000
河南卫视,http://home.amucn.net:8800/udp/239.49.8.29:8000
辽宁卫视,http://home.amucn.net:8800/udp/239.49.8.48:8000
贵州卫视,http://home.amucn.net:8800/udp/239.49.8.49:8000
海南卫视,http://home.amucn.net:8800/udp/239.49.8.83:8000
三沙卫视,http://home.amucn.net:8800/udp/239.49.0.167:8000
云南卫视,http://home.amucn.net:8800/udp/239.49.0.177:8000
青海卫视,http://home.amucn.net:8800/udp/239.49.0.81:8000
山东教育卫视,http://home.amucn.net:8800/udp/239.49.0.252:8000
甘肃卫视,http://home.amucn.net:8800/udp/239.49.0.250:8000
云南卫视,http://home.amucn.net:8800/udp/239.49.0.147:8000
三沙卫视,http://home.amucn.net:8800/udp/239.49.0.165:8000
河北卫视,http://home.amucn.net:8800/udp/239.49.0.170:8000
宁夏卫视,http://home.amucn.net:8800/udp/239.49.0.171:8000
甘肃卫视,http://home.amucn.net:8800/udp/239.49.0.172:8000
新疆卫视,http://home.amucn.net:8800/udp/239.49.0.178:8000
内蒙古卫视,http://home.amucn.net:8800/udp/239.49.0.180:8000
厦门卫视,http://home.amucn.net:8800/udp/239.49.0.230:8000
陕西卫视,http://home.amucn.net:8800/udp/239.49.0.233:8000
山东教育卫视,http://home.amucn.net:8800/udp/239.49.0.235:8000
兵团卫视,http://home.amucn.net:8800/udp/239.49.0.240:8000
西藏卫视,http://home.amucn.net:8800/udp/239.49.0.245:8000
东方卫视,http://home.amucn.net:8800/udp/239.49.1.32:6000
北京卫视,http://home.amucn.net:8800/udp/239.49.1.33:6000
浙江卫视,http://home.amucn.net:8800/udp/239.49.1.34:6000
辽宁卫视,http://home.amucn.net:8800/udp/239.49.1.35:6000
安徽卫视,http://home.amucn.net:8800/udp/239.49.1.36:6000
山东卫视,http://home.amucn.net:8800/udp/239.49.1.37:6000
湖南卫视,http://home.amucn.net:8800/udp/239.49.1.38:6000
广东卫视,http://home.amucn.net:8800/udp/239.49.1.39:6000
广西卫视,http://home.amucn.net:8800/udp/239.49.1.40:6000
海南卫视,http://home.amucn.net:8800/udp/239.49.1.41:6000
重庆卫视,http://home.amucn.net:8800/udp/239.49.1.42:6000
四川卫视,http://home.amucn.net:8800/udp/239.49.1.43:6000
河南卫视,http://home.amucn.net:8800/udp/239.49.1.44:6000
东南卫视,http://home.amucn.net:8800/udp/239.49.1.45:6000
天津卫视,http://home.amucn.net:8800/udp/239.49.1.46:6000
江西卫视,http://home.amucn.net:8800/udp/239.49.1.47:6000
湖北卫视,http://home.amucn.net:8800/udp/239.49.1.48:6000
吉林卫视,http://home.amucn.net:8800/udp/239.49.1.49:6000
黑龙江卫视,http://home.amucn.net:8800/udp/239.49.1.50:6000
山西卫视,http://home.amucn.net:8800/udp/239.49.1.51:6000
贵州卫视,http://home.amucn.net:8800/udp/239.49.1.52:6000
青海卫视,http://home.amucn.net:8800/udp/239.49.1.53:6000
深圳卫视,http://home.amucn.net:8800/udp/239.49.1.59:6000
云南卫视,http://home.amucn.net:8800/udp/239.49.1.235:6000
山东卫视,http://home.amucn.net:8800/udp/239.49.8.7:9306
浙江卫视,http://home.amucn.net:8800/udp/239.49.8.20:9618
北京卫视,http://home.amucn.net:8800/udp/239.49.8.11:9414
湖南卫视,http://home.amucn.net:8800/udp/239.49.8.12:9418
江苏卫视,http://home.amucn.net:8800/udp/239.49.8.16:9602
东方卫视,http://home.amucn.net:8800/udp/239.49.8.17:9606
东方卫视,http://home.amucn.net:8800/udp/239.49.0.48:8376
北京卫视,http://home.amucn.net:8800/udp/239.49.0.49:8384
浙江卫视,http://home.amucn.net:8800/udp/239.49.0.50:8392
辽宁卫视,http://home.amucn.net:8800/udp/239.49.0.51:8400
安徽卫视,http://home.amucn.net:8800/udp/239.49.0.52:8408
山东卫视,http://home.amucn.net:8800/udp/239.49.0.53:8416
湖南卫视,http://home.amucn.net:8800/udp/239.49.0.54:8424
广东卫视,http://home.amucn.net:8800/udp/239.49.0.55:8432
广西卫视,http://home.amucn.net:8800/udp/239.49.0.56:8440
海南卫视,http://home.amucn.net:8800/udp/239.49.0.57:8448
重庆卫视,http://home.amucn.net:8800/udp/239.49.0.58:8456
四川卫视,http://home.amucn.net:8800/udp/239.49.0.59:8464
河南卫视,http://home.amucn.net:8800/udp/239.49.0.60:8472
东南卫视,http://home.amucn.net:8800/udp/239.49.0.61:8480
天津卫视,http://home.amucn.net:8800/udp/239.49.0.62:8488
江西卫视,http://home.amucn.net:8800/udp/239.49.0.63:8496
湖北卫视,http://home.amucn.net:8800/udp/239.49.0.64:8504
吉林卫视,http://home.amucn.net:8800/udp/239.49.0.65:8512
黑龙江卫视,http://home.amucn.net:8800/udp/239.49.0.66:8520
山西卫视,http://home.amucn.net:8800/udp/239.49.0.67:8528
贵州卫视,http://home.amucn.net:8800/udp/239.49.0.68:8536
青海卫视,http://home.amucn.net:8800/udp/239.49.0.69:8544
深圳卫视,http://home.amucn.net:8800/udp/239.49.0.100:8788

🎬电影频道,#genre#
CHC家庭影院,https://www.freetv.top/migu/644368373.m3u8?migutoken=b9d9d0ba0208e949cf0736455b86290b2d1d2ff4727f523b7117dde6eb883cb4582c5ce1519685e57d54bfb562057c10a00dde58bb674d8600fd2d918b8cb440294e083e7b8f19e0dbcc9250d8
CHC家庭影院,http://110.53.52.63:8888/newlive/live/hls/51/live.m3u8
CHC家庭影院,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=chcjtdy
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8
CHC家庭影院,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC家庭影院,http://[2409:8087:7008:20::8]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC家庭影院,http://[2001:250:5800:1005::155]:80/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/index.m3u8
